frame_idx,track_id,similarity_score,is_target,bbox_x1,bbox_y1,bbox_x2,bbox_y2
49,34,0.4891,False,581,396,705,798
49,42,0.6182,False,1741,261,1862,942
49,44,0.4423,False,1466,437,1529,634
49,47,0.3969,False,507,462,583,728
50,1,0.5749,False,115,401,249,792
50,2,0.5258,False,230,398,368,792
50,3,0.5857,False,1530,332,1754,881
50,6,0.4813,False,380,394,514,795
50,7,0.9099,True,873,324,1059,888
50,8,0.5198,False,709,421,844,778
50,10,0.4526,False,1283,402,1440,797
50,32,0.5078,False,1069,438,1148,701
50,34,0.4877,False,583,396,708,798
50,42,0.6271,False,1734,264,1864,943
50,44,0.443,False,1466,437,1532,633
50,47,0.3883,False,507,456,584,728
51,1,0.5613,False,116,401,249,791
51,2,0.5365,False,230,399,368,792
51,3,0.6046,False,1527,335,1747,877
51,6,0.4949,False,379,394,511,792
51,7,0.9079,True,875,325,1061,885
51,8,0.5291,False,712,421,846,778
51,10,0.4593,False,1273,401,1429,797
51,32,0.4981,False,1064,434,1146,701
51,34,0.4787,False,586,396,710,792
51,42,0.5988,False,1725,267,1864,940
51,44,0.4378,False,1464,437,1531,633
51,47,0.3949,False,506,452,585,729
52,1,0.5604,False,116,401,249,790
52,2,0.5389,False,229,402,366,790
52,3,0.6056,False,1524,334,1741,875
52,6,0.4816,False,379,393,510,790
52,7,0.8992,True,878,327,1065,883
52,8,0.5267,False,714,421,848,780
52,10,0.4657,False,1266,401,1421,795
52,32,0.5229,False,1064,434,1147,702
52,34,0.4896,False,588,397,713,792
52,42,0.5981,False,1720,269,1866,932
52,44,0.4376,False,1462,437,1531,632
52,47,0.4058,False,507,449,588,731
53,1,0.565,False,117,402,250,788
53,2,0.5348,False,229,404,365,789
53,3,0.5936,False,1519,332,1736,875
53,6,0.4581,False,378,392,508,787
53,7,0.8909,True,880,332,1065,881
53,8,0.5146,False,716,422,848,781
53,10,0.459,False,1259,403,1413,795
53,32,0.5416,False,1062,434,1148,703
53,34,0.4783,False,589,400,715,794
53,42,0.5864,False,1712,270,1864,917
53,44,0.4391,False,1460,437,1530,632
53,47,0.3928,False,509,450,590,731
54,1,0.5657,False,118,403,250,787
54,2,0.5286,False,229,406,364,788
54,3,0.6006,False,1515,332,1729,876
54,6,0.4555,False,377,392,506,785
54,7,0.8908,True,879,335,1062,882
54,8,0.5066,False,715,422,847,783
54,10,0.4495,False,1254,406,1407,795
54,32,0.5651,False,1070,434,1155,702
54,34,0.4775,False,589,401,715,795
54,42,0.5895,False,1705,272,1863,910
54,44,0.4658,False,1452,433,1535,670
54,47,0.3821,False,511,453,591,729
55,1,0.5733,False,118,404,249,786
55,2,0.5206,False,230,408,364,788
55,3,0.6045,False,1513,330,1724,874
55,6,0.4835,False,376,391,505,781
55,7,0.901,True,883,344,1062,882
55,8,0.5054,False,714,422,847,786
55,10,0.459,False,1246,406,1401,795
55,32,0.5749,False,1073,433,1158,702
55,34,0.4839,False,590,399,718,797
55,42,0.5741,False,1689,274,1850,902
55,44,0.497,False,1447,432,1539,700
55,47,0.3843,False,515,446,598,729
56,1,0.5734,False,117,407,249,786
56,2,0.5167,False,232,411,366,790
56,3,0.5793,False,1512,335,1718,871
56,6,0.4816,False,376,391,505,780
56,7,0.9199,True,889,351,1064,881
56,8,0.5023,False,715,422,849,787
56,10,0.4828,False,1241,409,1395,794
56,32,0.5872,False,1072,431,1158,702
56,34,0.4931,False,591,397,720,799
56,42,0.5502,False,1678,275,1844,902
56,44,0.4527,False,1454,434,1534,665
56,47,0.3729,False,516,443,601,729
56,52,0.5859,False,1741,294,1919,908
57,1,0.57,False,117,409,248,787
57,2,0.5192,False,233,413,365,789
57,3,0.5862,False,1508,334,1714,872
57,6,0.4907,False,375,392,504,779
57,7,0.9211,True,897,355,1068,880
57,8,0.4972,False,716,422,851,790
57,10,0.4855,False,1236,412,1390,795
57,32,0.5161,False,1062,429,1157,730
57,34,0.4973,False,592,395,722,799
57,42,0.5457,False,1670,277,1838,894
57,44,0.4796,False,1445,432,1540,712
57,47,0.3681,False,514,440,601,728
57,52,0.5848,False,1731,289,1920,1021
58,1,0.5646,False,117,411,247,786
58,2,0.5196,False,235,414,365,788
58,3,0.5831,False,1499,336,1699,866
58,6,0.5096,False,375,392,505,778
58,7,0.9124,True,902,356,1070,879
58,8,0.5027,False,718,422,852,792
58,10,0.4669,False,1231,419,1383,794
